accession_number,dataset_url,dataset_name,num_subjects,modalities,dx_status,ages,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author
ds004065,https://openneuro.org/datasets/ds004065/versions/1.0.0,Luminance,20,"MRI - func, MRI - anat",Healthy / Control,,,,"Sanes, Jerome N."
ds004067,https://openneuro.org/datasets/ds004067/versions/1.0.1,Moral conviction and metacognitive ability shape multiple stages of information processing,80,EEG,Healthy / Control,,,,"Decety, Jean"
ds004068,https://openneuro.org/datasets/ds004068/versions/1.0.3,AutomatedZShimSpinalCord,48,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Eippert, Falk"
ds004073,https://openneuro.org/datasets/ds004073/versions/1.0.1,Comparing language lateralisation using fMRI and fTCD,51,"MRI - func, MRI - anat",Healthy / Control,,,,"Karlsson, Emma"
ds004075,https://openneuro.org/datasets/ds004075/versions/1.0.0,what_are_we_talking_about,29,EEG,Healthy / Control,,-,-,"Winkler, István"
ds004078,https://openneuro.org/datasets/ds004078/versions/1.2.1,A synchronous multimodal neuroimaging dataset to study brain language processing,12,"MRI - func, MRI - dwi, MRI - anat, MEG",,,,,"Zong, Chengqing"
ds004080,https://openneuro.org/datasets/ds004080/versions/1.2.4,CCEP ECoG dataset across age 4-51,74,iEEG,Epilepsy,"0-10, 11-17, 18-25, 26-34, 35-50, 51-65",https://doi.org/10.1101/2022.03.14.484297,"The development of efficient communication in the human connectome D. van Blooijs, J.F. van der Aar, G.J.M. Huiskamp, G. Castegnaro, M. Demuru, W.J.E.M. Zweiphenning, P. van Eijsden, K. J. Miller, F.S.S. Leijten, D. Hermes bioRxiv 2022.03.14.484297; doi: https://doi.org/10.1101/2022.03.14.484297","Hermes, D."
ds004081,https://openneuro.org/datasets/ds004081/versions/1.0.0,Confidence in Equal and Unequal Variance Settings,35,"MRI - func, MRI - anat",,,,,"Fleming, Stephen M."
ds004086,https://openneuro.org/datasets/ds004086/versions/1.2.0,Triple Dissociation Revisited,58,"MRI - func, MRI - anat",,,,,"Kirwan, C. Brock"
ds004091,https://openneuro.org/datasets/ds004091/versions/2.0.0,GAZE PRF,8,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Knapen, Tomas"
ds004092,https://openneuro.org/datasets/ds004092/versions/1.0.1,,27,"MRI - func, MRI - anat",,,,,"Hess, Andreas"
ds004094,https://openneuro.org/datasets/ds004094/versions/1.0.1,Tesser,37,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",10.1101/2021.10.12.462707,,"Preston, Alison R."
ds004097,https://openneuro.org/datasets/ds004097/versions/1.1.0,An open-access accelerated adult equivalent of the ABCD Study neuroimaging dataset (a-ABCD),8,"MRI - func, MRI - dwi, MRI - anat",,,,,"Rosenberg, Monica D."
ds004100,https://openneuro.org/datasets/ds004100/versions/1.1.3,,57,iEEG,Epilepsy,"11-17, 18-25, 26-34, 35-50, 51-65",doi:10.1093/brain/awab480,"Bernabei, J. M., Sinha, N., Arnold, T. C., and Conrad, E. (2022). Normative Intracranial EEG Maps Epileptogenic Tissues in Focal Epilepsy. Brain.","Litt, Brian"
ds004101,https://openneuro.org/datasets/ds004101/versions/1.0.1,Resting-state fMRI data acquired before and after a course of infra-low frequency neurofeedback,9,"MRI - func, MRI - anat",Healthy / Control,"35-50, 51-65",10.3389/fnhum.2020.00192; 10.1111/psyp.13537,,"V, Pechenkova Ekaterina"
ds004102,https://openneuro.org/datasets/ds004102/versions/1.0.1,Stimulation of the dorsolateral prefrontsal cortex modulates brain cue reactivity to reward(un)availability,32,"MRI - func, MRI - anat",Healthy / Control,,,,"Billieux, Joël"
ds004103,https://openneuro.org/datasets/ds004103/versions/1.0.0,Collaborations and deceptions in strategic interactions revealed by hyperscanning fMRI,66,"MRI - func, MRI - anat",,,,,"Kung, Chun-Chia"
ds004105,https://openneuro.org/datasets/ds004105/versions/1.0.0,BCIT Auditory Cueing,17,EEG,,,https://doi.org/10.1016/j.neuroimage.2017.02.057,,"(curation), Kay Robbins"
ds004106,https://openneuro.org/datasets/ds004106/versions/1.0.0,BCIT Advanced Guard Duty,27,EEG,,,https://doi.org/10.1016/j.biopsycho.2015.12.009,,"(curation), Kay Robbins"
ds004107,https://openneuro.org/datasets/ds004107/versions/1.0.0,MIND DATA,8,"MRI - anat, MEG",,,,,"Aine, C.J."
ds004109,https://openneuro.org/datasets/ds004109/versions/1.0.0,Emotional learning retroactively promotes memory integration through rapid neural reactivation and reorganization,31,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Qin, Shaozheng"
ds004114,https://openneuro.org/datasets/ds004114/versions/1.0.0,MultiRat_rest,646,"MRI - anat, MRI - func",Healthy / Control,,,,"Hess, Andreas"
ds004116,https://openneuro.org/datasets/ds004116/versions/1.0.0,StandardRat,209,"MRI - anat, MRI - func",Healthy / Control,,,,"Hess, Andreas"
ds004117,https://openneuro.org/datasets/ds004117/versions/1.0.1,Sternberg Working Memory,23,EEG,,"18-25, 26-34, 35-50",https://doi.org/10.1016/j.neuroimage.2005.04.014,,"(curation), Kay Robbins"
ds004118,https://openneuro.org/datasets/ds004118/versions/1.0.1,Calibration Driving,156,EEG,,,https://doi.org/10.3389/fnins.2014.00155,,"(curation), Kay Robbins"
ds004119,https://openneuro.org/datasets/ds004119/versions/1.0.0,BCIT Basic Guard Duty,21,EEG,,,https://doi.org/10.1016/j.biopsycho.2015.12.009,,"(curation), Kay Robbins"
ds004120,https://openneuro.org/datasets/ds004120/versions/1.0.0,BCIT Baseline Driving,109,EEG,,,https://doi.org/10.3389/fnins.2014.00155,,"(curation), Kay Robbins"
ds004121,https://openneuro.org/datasets/ds004121/versions/1.0.0,BCIT Mind Wandering,21,EEG,,,,,"(curation), Kay Robbins"
ds004122,https://openneuro.org/datasets/ds004122/versions/1.0.0,BCIT Speed Control,32,EEG,,,,,"(curation), Kay Robbins"
ds004123,https://openneuro.org/datasets/ds004123/versions/1.0.0,BCIT Traffic Complexity,29,EEG,,,,,"(curation), Kay Robbins"
ds004125,https://openneuro.org/datasets/ds004125/versions/1.0.0,Douglas hypercapnia,15,"MRI - anat, MRI - func",,,,,"Chakravarty, Mallar"
ds004127,https://openneuro.org/datasets/ds004127/versions/3.0.0,Somatosensory Cortex Rat DISC Data,8,iEEG,,,https://doi.org/10.1101/2021.09.20.460996,1,"Seymour, John P"
ds004128,https://openneuro.org/datasets/ds004128/versions/1.0.0,Neural representations of others' traits predict social decisions,32,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",,,"Jenkins, Adrianna C."
ds004129,https://openneuro.org/datasets/ds004129/versions/1.0.0,BIDS Phenotype Segregation Example Dataset,1,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Thomas, Adam G."
ds004130,https://openneuro.org/datasets/ds004130/versions/1.0.0,BIDS Phenotype Aggregation Example Dataset,1,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Thomas, Adam G."
ds004131,https://openneuro.org/datasets/ds004131/versions/1.0.1,BIDS Phenotype External Example Dataset,1,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Thomas, Adam G."
ds004134,https://openneuro.org/datasets/ds004134/versions/1.0.1,Experience Sampling in Resting State,36,"MRI - func, MRI - anat",,"18-25, 26-34",doi.org/10.1162/jocn_a_01025,Fluctuations of Attentional Networks and Default Mode Network during the Resting State Reflect Variations in Cognitive States: Evidence from a Novel Resting-state Experience Sampling Method,"Demertzi, Athena"
ds004141,https://openneuro.org/datasets/ds004141/versions/1.0.5,Targeting Dynamic Facial Processing Mechanisms in Superior Temporal Sulcus Using fMRI Neurofeedback,20,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Castelo-Branco, Miguel"
ds004142,https://openneuro.org/datasets/ds004142/versions/1.0.1,Exploring the Neural Correlates of Feedback-Related Reward Saliency and Valence During Real-Time fMRI-Based Neurofeedback,10,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Castelo-Branco, Miguel"
ds004144,https://openneuro.org/datasets/ds004144/versions/1.0.2,"A behavioral, clinical and brain imaging dataset with focus on emotion regulation of females with fibromyalgia",66,"MRI - func, MRI - anat",Fibromyalgia,,,,"Garza-Villarreal, Eduardo A."
ds004145,https://openneuro.org/datasets/ds004145/versions/1.0.0,GDMOffspring_MRI,49,MRI - anat,Gestational diabetes,,,,"Jung, Sangyong"
ds004146,https://openneuro.org/datasets/ds004146/versions/1.0.4,Queensland Twin Adolescent Brain (QTAB),417,"MRI - dwi, MRI - anat, MRI - func, MRI - perf",,"0-10, 11-17",,,"Wright, Margaret J."
ds004147,https://openneuro.org/datasets/ds004147/versions/1.0.2,Average Task Value,12,EEG,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Holroyd, Clay B."
ds004148,https://openneuro.org/datasets/ds004148/versions/1.0.1,A test-retest resting and cognitive state EEG dataset,60,EEG,Healthy / Control,"18-25, 26-34",,"Test-retest Reproducibility Comparison in Resting and the Mental Task States : A Sensor and Source-level EEG Spectral Analysis;Reproducibility of power spectrum, functional connectivity and network construction in resting-state EEG. ","Lei, Xu"
ds004151,https://openneuro.org/datasets/ds004151/versions/1.0.0,"Effect of obesity on inhibitory control in preadolescents during stop-signal
task. An event-related potentials study",57,EEG,,,,doi: 10.1016/j.ijpsycho.2021.04.003,"Larson-Prior, Linda"
ds004152,https://openneuro.org/datasets/ds004152/versions/1.1.2,Drum Trainer,21,EEG,Healthy / Control,"18-25, 26-34, 35-50",,,"Hunt, Laurence T."
ds004158,https://openneuro.org/datasets/ds004158/versions/2.0.4,rest_eye,20,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50, 51-65",,,"Masson, Guillaume"
ds004161,https://openneuro.org/datasets/ds004161/versions/1.0.0,Turone Sheep Chronic Stress (TSCS),24,"MRI - dwi, MRI - func, MRI - anat",Healthy / Control,0-10,https://doi.org/10.1016/j.psyneuen.2019.104387,,"Matthieu, Keller"
ds004166,https://openneuro.org/datasets/ds004166/versions/1.0.0,"Effects of Forward and Backward Span Trainings on Working Memory: Evidence from a Randomized, Controlled Trial",71,EEG,Healthy / Control,"18-25, 26-34",,,"curation), Jun Li (data and"
ds004169,https://openneuro.org/datasets/ds004169/versions/1.0.7,Queensland Twin IMaging (QTIM),1202,"MRI - func, MRI - anat",,"11-17, 18-25, 26-34",,,"Wright, Margaret J."
ds004173,https://openneuro.org/datasets/ds004173/versions/1.0.2,Movement-related artefacts (MR-ART) dataset,148,MRI - anat,,"18-25, 26-34, 35-50, 51-65, 66+",,,"Vidnyánszky, Zoltán"
ds004182,https://openneuro.org/datasets/ds004182/versions/1.0.1,"Magic, Memory, and Curiosity (MMC) Dataset",50,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Murayama, Kou"
ds004186,https://openneuro.org/datasets/ds004186/versions/2.0.0,HBN EO/EC task,2951,EEG,,"0-10, 11-17, 18-25",,,"MP, Milham"
ds004187,https://openneuro.org/datasets/ds004187/versions/1.0.2,LGN Layers Data,3,"MRI - anat, MRI - func",,,,,"Schneider, Keith A."
ds004192,https://openneuro.org/datasets/ds004192/versions/1.0.7,THINGS-fMRI,3,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Baker, Chris I."
ds004194,https://openneuro.org/datasets/ds004194/versions/2.0.0,Visual ECoG dataset,14,"MRI - anat, iEEG",Epilepsy,"18-25, 26-34, 35-50",https://doi.org/10.1101/2021.08.08.455547,https://doi.org/10.1101/2021.08.08.455547,"Winawer, Jonathan"
ds004196,https://openneuro.org/datasets/ds004196/versions/2.0.2,FMRI-EEG Prestudy,4,"MRI - func, MRI - anat, EEG",Healthy / Control,,10.1101/2022.05.24.492109,,"Eriksson, Johan"
ds004199,https://openneuro.org/datasets/ds004199/versions/1.0.5,bonn_fcd,170,MRI - anat,,,,,"Rüber, Theodor"
ds004200,https://openneuro.org/datasets/ds004200/versions/1.0.1,Temporal Scaling,20,EEG,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,"Hunt, Laurence T."
ds004212,https://openneuro.org/datasets/ds004212/versions/2.0.1,THINGS-MEG,4,"MRI - anat, MEG",,,,,"Baker, Chris I."
ds004213,https://openneuro.org/datasets/ds004213/versions/1.0.1,BrainBeats,5,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65",https://doi.org/10.1101/2022.02.18.480957,"Hermes D, Wu H, Kerr AB, Wandell BA (2022). Measuring brain beats: cardiac-aligned fast fMRI signals. bioRxiv 2022.02.18.480957; doi: https://doi.org/10.1101/2022.02.18.480957","BA, Wandell"
ds004217,https://openneuro.org/datasets/ds004217/versions/1.0.0,Interacting representations of mental states and traits,67,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",https://osf.io/mkvtc,,"Tamir, Diana I."
ds004219,https://openneuro.org/datasets/ds004219/versions/1.0.0,Litebook_Alertness_Study,10,"MRI - anat, MRI - func",Healthy / Control,"11-17, 18-25",,,"Khan, Alaptagin"
ds004226,https://openneuro.org/datasets/ds004226/versions/1.0.0,"Summed social cognition: additive neural representations of situations, mental states, and actions",28,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Tamir, Diana I."
ds004228,https://openneuro.org/datasets/ds004228/versions/1.0.1,Early stressful experiences are associated with reduced neural responses to naturalistic emotional and social content in children,70,"MRI - anat, MRI - func",,,10.1016/j.dcn.2022.101152,,"Mackey, Allyson P."
ds004229,https://openneuro.org/datasets/ds004229/versions/1.0.3,amnoise,1,MEG,,,"10.1016/j.nicl.2021.102578, 10.3390/ijerph19031180",,"Kuhl, Patricia K."
ds004230,https://openneuro.org/datasets/ds004230/versions/3.0.0,"First-in-human evaluation of [11C]PS13, a novel PET radioligand, to quantify cyclooxygenase-1 in the brain",16,"MRI - anat, PET",,"18-25, 26-34, 35-50, 51-65",10.1007/s00259-020-04855-2,"First-in-human evaluation of [ 11 C]PS13, a novel PET radioligand, to quantify cyclooxygenase-1 in the brain","Innis, Robert B"
ds004252,https://openneuro.org/datasets/ds004252/versions/1.0.2,Rotation-tolerant representations elucidate the time course of high-level object processing,1,EEG,,,,,"Carlson, Thomas A."
ds004254,https://openneuro.org/datasets/ds004254/versions/1.0.0,Germ-free_MRI,15,MRI - anat,,,,,"Jung, Sangyong"
ds004256,https://openneuro.org/datasets/ds004256/versions/1.0.5,,53,EEG,,,,,"Maess, Burkhard"
ds004259,https://openneuro.org/datasets/ds004259/versions/1.0.0,Individual risk attitudes arise from noise in neurocognitive magnitude representations.,64,"MRI - func, MRI - anat",Healthy / Control,,10.1101/2022.08.22.504413v1,,"Ruff, Christian C."
ds004261,https://openneuro.org/datasets/ds004261/versions/2.0.0,Cross-stage neural pattern similarity in the hippocampus predicts misinformation-induced false memory,57,"MRI - func, MRI - anat",,18-25,,,"Zhu, Bi"
ds004262,https://openneuro.org/datasets/ds004262/versions/1.0.0,Continuous Feedback Processing,21,EEG,Healthy / Control,"18-25, 26-34, 35-50",,,"Hunt, Laurence T."
ds004264,https://openneuro.org/datasets/ds004264/versions/1.1.0,Steer the Ship,21,EEG,Healthy / Control,"18-25, 26-34, 35-50",,,"Hunt, Laurence T."
ds004265,https://openneuro.org/datasets/ds004265/versions/1.1.2,"Development of MRgFUS system for precision-targeted neuromodulation of pain circuits with simultaneous functional MRI. We provide two category of fMRI data acquired using different stimulus paradigms i.e., Two and three-stimulus condition EPI data 1) Heat & Heat+FUS (sub-01-03, 20-runs) and 2) Heat, Heat+FUS & FUS (sub-04&05). FUS was applied to the VPL nuclei located in the Thalamus during simultaneous Heat+FUS and FUS only conditions where total acquisition time was 674 and 996 seconds for the two and three-condition data. Alternate Heat and Heat+FUS was presented in the former data set for 16s followed by 30s rest. Stimulus on time for both conditions are Heat: 30 122 214 306 398 490 582sec and Heat+FUS: 76 168 260 352 444 536 628sec. However, 3-conditions data was acquired using a randomized stimulus paradigm where stimulus presentation timings are as follows. Heat: 30 168 398 490 628 812 858sec., Heat+FUS: 76 260 306 444 674 766 904sec. and FUS: 122 214 352 536 582 720 950sec. With TR = 2.0secs an ascending and interleaved slice timing acquisition protocol was followed to acquire EPI data",5,"MRI - func, MRI - anat",,,,,"Caskey, Charles"
ds004271,https://openneuro.org/datasets/ds004271/versions/1.1.0,gaze_exp,2,"MRI - func, MRI - anat",,35-50,,,"Nau, Matthias"
ds004274,https://openneuro.org/datasets/ds004274/versions/1.0.0,A Chemical Signal in Human Emotional Tears Blocks Aggression in Men,33,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Sobel, Noam"
ds004276,https://openneuro.org/datasets/ds004276/versions/1.0.0,Auditory single word recognition in MEG,18,MEG,Healthy / Control,"18-25, 26-34",,,"Lau, Ellen"
ds004278,https://openneuro.org/datasets/ds004278/versions/1.0.1,Sustained Neural Representations of Personally Familiar People and Places During Cued Recall,30,MEG,Healthy / Control,"18-25, 26-34, 35-50",,,"contribution], [(*) = equal"
ds004279,https://openneuro.org/datasets/ds004279/versions/1.1.2,EEG: silent and perceive speech on 30 spanish sentences,56,EEG,Healthy / Control,"18-25, 26-34",,,"Rodriguez-Fernandez, Maria"
ds004280,https://openneuro.org/datasets/ds004280/versions/1.0.1,hyper,2,"MRI - func, MRI - anat",Healthy / Control,26-34,https://doi.org/10.1038/s41598-021-03938-w,Hyperrealistic neural decoding for reconstructing faces from fMRI activations via the GAN latent space,"Güçlü, Umut"
ds004283,https://openneuro.org/datasets/ds004283/versions/1.0.3,neuroloki,4,"MRI - func, MRI - anat",,26-34,,,"Verstynen, Timothy"
ds004284,https://openneuro.org/datasets/ds004284/versions/1.0.0,eeg-neuroforecasting,18,EEG,,,,,"Nusbaum, H."
ds004285,https://openneuro.org/datasets/ds004285/versions/1.0.0,Listening task,78,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65, 66+",,,"Peelle, Jonathan E."
ds004286,https://openneuro.org/datasets/ds004286/versions/1.0.0,Multidimensional memory topography in the medial parietal cortex identified from neuroimaging of thousands of daily memory videos,23,"MRI - func, MRI - anat",,,,"Bainbridge, W.A., & Baker, C.I. (under review). Multidimensional memory topography in the medial parietal cortex identified from neuroimaging of thousands of daily memory videos. bioRxiv, https://www.biorxiv.org/content/10.1101/2022.07.29.501921v1","Baker, Chris I."
ds004295,https://openneuro.org/datasets/ds004295/versions/1.0.0,Reward gain and punishment avoidance reversal learning,26,EEG,Healthy / Control,,,,"Mueller, Erik M."
ds004299,https://openneuro.org/datasets/ds004299/versions/1.0.0,Characterizing habit learning in the human brain at the individual and group levels: a multi-modal MRI study,123,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,,,,"Schonberg, Tom"
ds004301,https://openneuro.org/datasets/ds004301/versions/1.0.2,An fMRI Dataset for Concept Representation with semantic feature annotations,11,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Wang, Shaonan"
ds004302,https://openneuro.org/datasets/ds004302/versions/1.0.1,Brain correlates of speech perception in schizophrenia patients with and without auditory hallucinations,71,"MRI - anat, MRI - func",Schizophrenia,"18-25, 26-34, 35-50, 51-65, 66+",,,"Pomarol-Clotet, Edith"
ds004305,https://openneuro.org/datasets/ds004305/versions/1.0.3,Mapping neuroinflammation in vivo with diffusion-MRI in rats given a systemic lipopolysaccharide challenge,32,"MRI - dwi, MRI - anat",,,"https://doi.org/10.1101/2022.09.10.507418, https://doi.org/10.1101/2022.09.10.507418, https://doi.org/10.20944/preprints202203.0062.v1, https://doi.org/10.1038/s41398-022-02143-1, https://doi.org/10.3389/fnins.2022.796129, https://doi.org/10.12688/wellcomeopenres.16734.3",,"Cash, Diana"
ds004306,https://openneuro.org/datasets/ds004306/versions/1.0.2,MultisensoryDataset,12,EEG,,,,,"O'Neill, Eamonn"
ds004312,https://openneuro.org/datasets/ds004312/versions/1.0.3,Taste Imagining,20,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50, 51-65",https://doi.org/10.1101/2022.10.24.513537,A common neural code for representing imagined and inferred tastes,"Martin, Alex"
ds004315,https://openneuro.org/datasets/ds004315/versions/1.0.0,"Mood Manipulation and PST, Experiment 1",50,EEG,,"18-25, 26-34, 35-50, 51-65",,,"Jackson, Trevor C J"
ds004317,https://openneuro.org/datasets/ds004317/versions/1.0.3,"Mood Manipulation and PST, Experiment 2",50,EEG,,"18-25, 26-34, 35-50, 51-65",,,"Jackson, Trevor C J"
ds004323,https://openneuro.org/datasets/ds004323/versions/1.0.0,Atari-style video game learning fMRI,32,"MRI - func, MRI - anat",,,https://doi.org/10.1101/2022.06.14.496001,"Tomov, M.S., Tsividis, P.A., Pouncy, T., Tenenbaum, J.B., & Gershman, S.J. (2022). The neural architecture of theory-based reinforcement learning.","Gershman, Samuel J."
ds004324,https://openneuro.org/datasets/ds004324/versions/1.0.0,ToonFaces,26,EEG,,,,,"Wriessnegger, Selina C."
ds004327,https://openneuro.org/datasets/ds004327/versions/1.0.3,Odor imagery but not perception drives risk for food cue reactivity and adiposity,47,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,,"Small, Dana M."
ds004330,https://openneuro.org/datasets/ds004330/versions/1.0.0,The spatiotemporal neural dynamics of object recognition for natural images and line drawings (MEG),30,MEG,,,,https://www.biorxiv.org/content/10.1101/2022.08.12.503484v1,"Hebart, Martin N."
ds004331,https://openneuro.org/datasets/ds004331/versions/1.0.4,The spatiotemporal neural dynamics of object recognition for natural images and line drawings,30,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,https://www.biorxiv.org/content/10.1101/2022.08.12.503484v1,"Hebart, Martin N."
ds004332,https://openneuro.org/datasets/ds004332/versions/1.3.0,Datasets with and without deliberate head movements for evaluating the performance of markerless prospective motion correction and selective reacquisition in a general clinical protocol for brain MRI,22,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50",,,"Eichhorn, Hannah"
ds004339,https://openneuro.org/datasets/ds004339/versions/1.0.0,dataset_for_test,2,MRI - anat,,,,,"al., et"
ds004341,https://openneuro.org/datasets/ds004341/versions/1.0.0,semantic_encoding,28,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,https://doi.org/10.1523/JNEUROSCI.0677-21.2021,"Morcom, Alexa"
ds004346,https://openneuro.org/datasets/ds004346/versions/1.0.8,FLUX: A pipeline for MEG analysis,1,"MRI - anat, MEG",Other,,https://doi.org/10.1016/j.neuroimage.2022.119047,,"Jensen, Ole"
ds004347,https://openneuro.org/datasets/ds004347/versions/1.0.0,Symmetry perception and affective responses: a combined EEG/EMG study,24,EEG,,,10.1016/j.neuropsychologia.2012.10.003,,"Bertamini, M."
ds004348,https://openneuro.org/datasets/ds004348/versions/1.0.5,Ear-EEG Sleep Monitoring 2017 (EESM17),9,EEG,Other,,10.1186/s12938-017-0400-5,,"Kidmose, Preben"
ds004349,https://openneuro.org/datasets/ds004349/versions/1.0.0,Evaluating methods for measuring background connectivity in slow event-related fMRI designs,57,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Zeithamova, D."
ds004350,https://openneuro.org/datasets/ds004350/versions/1.1.1,Executive Functioning Data,24,EEG,,,https://doi.org/10.3389/fnhum.2020.00246,,"Brandmeyer, Tracy"
ds004356,https://openneuro.org/datasets/ds004356/versions/2.2.1,Music and Speech Elicit Similar Subcortical Responses in Human Listeners,22,EEG,,"18-25, 26-34, 35-50",https://doi.org/10.1101/2022.10.14.512309,,"Maddox, Ross K."
ds004357,https://openneuro.org/datasets/ds004357/versions/1.0.1,Features-EEG,16,EEG,,,,,"Carlson, Thomas"
ds004359,https://openneuro.org/datasets/ds004359/versions/1.0.0,SixthSense,57,"MRI - func, MRI - anat",,,,,"Hasson, Uri"
ds004362,https://openneuro.org/datasets/ds004362/versions/1.0.0,EEG Motor Movement/Imagery Dataset,109,EEG,,,10.1109/TBME.2004.827072,,"Wolpaw, Jonathan R"
ds004367,https://openneuro.org/datasets/ds004367/versions/1.0.2,,40,EEG,,,10.1101/2022.10.19.22281249,,"Faivre, Nathan"
ds004368,https://openneuro.org/datasets/ds004368/versions/1.0.2,Meta-rdk,39,EEG,,,10.1101/2022.10.19.22281249,,"Faivre, Nathan"
ds004369,https://openneuro.org/datasets/ds004369/versions/1.0.1,Blink-Pause-Relation (Competing Speaker Paradigm),41,EEG,,"18-25, 26-34",,,"Debener, Stefan"
ds004370,https://openneuro.org/datasets/ds004370/versions/1.0.2,PRIOS,7,iEEG,epilepsy,"11-17, 18-25, 26-34, 35-50, 51-65",,,"FSS, Leijten"
ds004381,https://openneuro.org/datasets/ds004381/versions/1.0.2,Intraoperative EEG dataset during medianus-tibialis stimulation with 8 different rates,18,EEG,Patients undergoing neurosurgery,"0-10, 11-17, 26-34, 35-50, 51-65, 66+",,,"Sarnthein, Johannes"
ds004386,https://openneuro.org/datasets/ds004386/versions/1.1.2,fc-reliability-spinalcord,48,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Eippert, Falk"
ds004388,https://openneuro.org/datasets/ds004388/versions/1.0.0,Somatosensory evoked potentials in the human spinal cord to mixed nerve stimulation,40,EEG,Healthy / Control,"18-25, 26-34",,,"Eippert, Falk"
ds004389,https://openneuro.org/datasets/ds004389/versions/1.0.0,Somatosensory evoked potentials in the human spinal cord to mixed and sensory nerve stimulation,26,EEG,Healthy / Control,"18-25, 26-34, 35-50",,,"Eippert, Falk"
ds004392,https://openneuro.org/datasets/ds004392/versions/1.0.0,"Parkinson's disease, functional connectivity, and cognition",58,"MRI - anat, MRI - func",,"51-65, 66+",,,"Buard, Isabelle"
ds004393,https://openneuro.org/datasets/ds004393/versions/1.0.4,Fear in the mind's eye: the neural correlates of differential fear acquisision to imagined conditioned stimuli,32,"MRI - func, MRI - anat",Healthy / Control,,https://doi.org/10.1093/scan/nsac063,,"Greening, Steven"
ds004395,https://openneuro.org/datasets/ds004395/versions/2.0.0,Penn Electrophysiology of Encoding and Retrieval Study (PEERS),364,EEG,Healthy / Control,,,,"Weidemann, Christoph T."
ds004398,https://openneuro.org/datasets/ds004398/versions/1.0.0,planmemreplay,1,MEG,,,,https://doi.org/10.1073/pnas.2205211120,"Dolan, Raymond J."
ds004400,https://openneuro.org/datasets/ds004400/versions/1.0.6,Number comparison task,25,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",,,"Szwed, Marcin"
ds004401,https://openneuro.org/datasets/ds004401/versions/1.3.0,PS13 Molecular Imaging Brain Atlas (Kim 2021),1,"MRI - anat, PET",Healthy / Control,"18-25, 26-34, 35-50",doi:10.18112/openneuro.ds004230.v2.3.1,,"Innis, Robert"
ds004406,https://openneuro.org/datasets/ds004406/versions/1.0.0,RID,23,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,,"Wagner, Anthony D."
ds004408,https://openneuro.org/datasets/ds004408/versions/1.0.8,Invariant encoding of phonemes in neural responses to continuous speech,19,EEG,,,,,"Lalor, Edmund C"
ds004440,https://openneuro.org/datasets/ds004440/versions/1.0.1,Stanford Child and Adult Checkerboard Retinotopy Dataset,49,"MRI - func, MRI - anat",,"0-10, 11-17, 18-25, 26-34",,"https://doi.org/10.1038/s41467-018-03166-3,  https://doi.org/10.1101/2022.07.22.501118","Winawer, Jonathan"
