Dataset Name,Link,Paper Link,Source / Institutions (Location),Ethics Approval,Is Age Explicitly Documented,Age Documented How,Is Age Complete,Patient Demographics / Covariates / Metadata,Sample Size,Imaging Modality(ies),Peds vs. Adult,Organ / Body Part
ds002614,https://openneuro.org/datasets/ds002614/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002620,https://openneuro.org/datasets/ds002620/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 72.84 years
Age Range: 56.03 to 83.09 years","Patients: 34
Sequences: 34",MRI,Adult,Brain
ds002634,https://openneuro.org/datasets/ds002634/versions/3.0.0,,,,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds002643,https://openneuro.org/datasets/ds002643/versions/1.1.0,,,,True,Task/Data Description,,Age Range: 18.00 to 50.00 years,"Patients: 80
Sequences: 80",MRI,Adult,Brain
ds002655,https://openneuro.org/datasets/ds002655/versions/1.0.1,,"MRI METHODS
Functional and structural data were collected on a Siemens Tim Trio 3T MRI scanner at the Brigham Young University MRI Research Facility, using a 32-channel head coil",,True,Patient-Level,True,"Avg. Age: 23.11 years
Age Range: 18.00 to 31.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds002672,https://openneuro.org/datasets/ds002672/versions/1.0.0,,,,False,,,,"Patients: 5
Sequences: 5",MRI,,Brain
ds002674,https://openneuro.org/datasets/ds002674/versions/1.0.6,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002675,https://openneuro.org/datasets/ds002675/versions/1.0.0,,,,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds002684,https://openneuro.org/datasets/ds002684/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 33.75 years
Age Range: 30.00 to 45.00 years","Patients: 4
Sequences: 4",MRI,Adult,Brain
ds002685,https://openneuro.org/datasets/ds002685/versions/2.0.0,10.1038/sdata.2018.105,,,True,Patient-Level,True,"Avg. Age: 33.08 years
Age Range: 26.00 to 40.00 years","Patients: 13
Sequences: 13",MRI,Adult,Brain
ds002687,https://openneuro.org/datasets/ds002687/versions/1.2.0,,,,True,Patient-Level,True,"Avg. Age: 26.15 years
Age Range: 20.40 to 30.14 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds002702,https://openneuro.org/datasets/ds002702/versions/1.0.1,,,,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds002711,https://openneuro.org/datasets/ds002711/versions/1.1.0,,,,True,Patient-Level,True,"Avg. Age: 34.47 years
Age Range: 24.00 to 57.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds002715,https://openneuro.org/datasets/ds002715/versions/1.0.0,,,,False,,,,"Patients: 8
Sequences: 8",MRI,,Brain
ds002717,https://openneuro.org/datasets/ds002717/versions/1.0.1,https://doi.org/10.1101/2020.02.06.937029,,,True,Patient-Level,True,"Avg. Age: 35.24 years
Age Range: 25.00 to 48.00 years","Patients: 59
Sequences: 59",MRI,Adult,Brain
ds002718,https://openneuro.org/datasets/ds002718/versions/1.0.5,,,,True,Patient-Level,False,"Avg. Age: 26.38 years
Age Range: 23.00 to 31.00 years","Patients: 18
Sequences: 18",MRI,Adult,Brain
ds002726,https://openneuro.org/datasets/ds002726/versions/1.0.1,,,,False,,,,"Patients: 29
Sequences: 29",MRI,,Brain
ds002727,https://openneuro.org/datasets/ds002727/versions/1.0.2,10.1016/j.neuropsychologia.2019.05.020,,,True,Patient-Level,True,"Avg. Age: 27.09 years
Age Range: 19.00 to 36.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds002731,https://openneuro.org/datasets/ds002731/versions/1.0.2,10.3758/s13421-013-0300-2,,,True,Patient-Level,True,"Avg. Age: 21.46 years
Age Range: 18.00 to 25.00 years","Patients: 67
Sequences: 67",MRI,Adult,Brain
ds002732,https://openneuro.org/datasets/ds002732/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 23.47 years
Age Range: 19.00 to 38.00 years","Patients: 30
Sequences: 30",MRI,Adult,Brain
ds002733,https://openneuro.org/datasets/ds002733/versions/1.0.1,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002734,https://openneuro.org/datasets/ds002734/versions/1.0.2,,,,False,,,,"Patients: 22
Sequences: 22",MRI,,Brain
ds002735,https://openneuro.org/datasets/ds002735/versions/1.0.2,,,,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds002737,https://openneuro.org/datasets/ds002737/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 0.00 years
Age Range: 0.00 to 0.00 years","Patients: 1
Sequences: 1",MRI,Peds,Brain
ds002738,https://openneuro.org/datasets/ds002738/versions/1.0.2,,,,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds002739,https://openneuro.org/datasets/ds002739/versions/1.0.0,,,,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds002741,https://openneuro.org/datasets/ds002741/versions/1.0.2,,,,False,,,,"Patients: 30
Sequences: 30",MRI,,Brain
ds002743,https://openneuro.org/datasets/ds002743/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 30.00 years
Age Range: 30.00 to 30.00 years","Patients: 3
Sequences: 3",MRI,Adult,Brain
ds002748,https://openneuro.org/datasets/ds002748/versions/1.0.5,10.1155/2021/8846097,,,True,Patient-Level,True,"Avg. Age: 33.08 years
Age Range: 19.00 to 55.00 years","Patients: 72
Sequences: 72",MRI,Adult,Brain
ds002750,https://openneuro.org/datasets/ds002750/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 0.00 years
Age Range: 0.00 to 0.00 years","Patients: 3
Sequences: 3",MRI,Peds,Brain
ds002766,https://openneuro.org/datasets/ds002766/versions/3.0.2,,,,False,,,,"Patients: 3
Sequences: 3",MRI,,Brain
ds002773,https://openneuro.org/datasets/ds002773/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 21.00 years
Age Range: 17.00 to 25.00 years","Patients: 19
Sequences: 19",MRI,"Peds, Adult (>94.73%)",Brain
ds002776,https://openneuro.org/datasets/ds002776/versions/1.0.2,10.1101/2020.01.08.899229,,,True,Patient-Level,True,"Avg. Age: 22.15 years
Age Range: 18.00 to 30.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds002785,https://openneuro.org/datasets/ds002785/versions/2.0.0,,,,True,Patient-Level,False,"Avg. Age: 22.18 years
Age Range: 18.25 to 26.25 years","Patients: 216
Sequences: 216",MRI,Adult,Brain
ds002790,https://openneuro.org/datasets/ds002790/versions/2.0.0,,,,True,Patient-Level,False,"Avg. Age: 21.96 years
Age Range: 18.25 to 25.75 years","Patients: 226
Sequences: 226",MRI,Adult,Brain
ds002793,https://openneuro.org/datasets/ds002793/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 24.54 years
Age Range: 19.00 to 33.00 years","Patients: 28
Sequences: 28",MRI,Adult,Brain
ds002797,https://openneuro.org/datasets/ds002797/versions/1.0.2,,,,True,Patient-Level,True,"Avg. Age: 30.00 years
Age Range: 30.00 to 30.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002799,https://openneuro.org/datasets/ds002799/versions/1.0.4,,,,True,Patient-Level,True,"Avg. Age: 35.81 years
Age Range: 13.00 to 59.00 years","Patients: 26
Sequences: 26",MRI,"Peds, Adult (>96.15%)",Brain
ds002813,https://openneuro.org/datasets/ds002813/versions/1.0.0,10.7554/eLife.59360,,,True,Patient-Level,True,"Avg. Age: 21.80 years
Age Range: 18.00 to 32.00 years","Patients: 40
Sequences: 40",MRI,Adult,Brain
ds002814,https://openneuro.org/datasets/ds002814/versions/1.3.0,,,,True,Patient-Level,True,"Avg. Age: 24.62 years
Age Range: 19.00 to 32.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds002835,https://openneuro.org/datasets/ds002835/versions/1.0.1,,,,False,,,,"Patients: 26
Sequences: 26",MRI,,Brain
ds002837,https://openneuro.org/datasets/ds002837/versions/2.0.0,,,,True,Patient-Level,True,"Avg. Age: 26.73 years
Age Range: 18.00 to 58.00 years","Patients: 86
Sequences: 86",MRI,Adult,Brain
ds002841,https://openneuro.org/datasets/ds002841/versions/1.0.1,,,,False,,,,"Patients: 29
Sequences: 29",MRI,,Brain
ds002842,https://openneuro.org/datasets/ds002842/versions/1.0.1,10.1016/j.neuropsychologia.2020.107381,,,True,Patient-Level,True,"Avg. Age: 25.73 years
Age Range: 20.00 to 40.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002843,https://openneuro.org/datasets/ds002843/versions/1.0.1,https://doi.org/10.1523/JNEUROSCI.2832-16.2017,,,True,Patient-Level,True,"Avg. Age: 24.52 years
Age Range: 18.00 to 34.00 years","Patients: 166
Sequences: 166",MRI,Adult,Brain
ds002848,https://openneuro.org/datasets/ds002848/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 23.60 years
Age Range: 19.00 to 28.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds002872,https://openneuro.org/datasets/ds002872/versions/1.3.0,,,,True,Patient-Level,True,"Avg. Age: 45.87 years
Age Range: 20.00 to 75.00 years","Patients: 39
Sequences: 39",MRI,Adult,Brain
ds002873,https://openneuro.org/datasets/ds002873/versions/1.0.0,,,,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds002878,https://openneuro.org/datasets/ds002878/versions/2.0.0,,,,True,Patient-Level,True,"Avg. Age: 26.00 years
Age Range: 18.00 to 36.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds002879,https://openneuro.org/datasets/ds002879/versions/1.1.1,10.1002/hbm.22147; 10.1111/desc.12245,,,True,Patient-Level,True,"Avg. Age: 21.41 years
Age Range: 18.01 to 34.77 years","Patients: 32
Sequences: 32",MRI,Adult,Brain
ds002886,https://openneuro.org/datasets/ds002886/versions/1.1.0,10.1093/cercor/bhr389; 10.1002/hbm.22681,,,True,Patient-Level,True,"Avg. Age: 11.20 years
Age Range: 8.47 to 15.00 years","Patients: 56
Sequences: 56",MRI,Peds,Brain
ds002896,https://openneuro.org/datasets/ds002896/versions/1.0.0,10.1089/brain.2019.0712 https://doi.org/10.1101/676429 doi: 10.1007/s00429-014-0944-0 10.1002/hbm.21063,"The Connectinn dataset relates to the study of non bothersome tinnitus at the Grenoble Institute for Neurosciences, France",,True,Patient-Level,True,"Avg. Age: 42.53 years
Age Range: 24.00 to 64.00 years","Patients: 38
Sequences: 38",MRI,Adult,Brain
ds002898,https://openneuro.org/datasets/ds002898/versions/1.4.2,https://doi.org/10.1101/2020.05.01.071662,,,True,Patient-Level,True,"Avg. Age: 19.44 years
Age Range: 18.00 to 23.00 years","Patients: 27
Sequences: 27",MRI,Adult,Brain
ds002905,https://openneuro.org/datasets/ds002905/versions/1.0.1,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds002936,https://openneuro.org/datasets/ds002936/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 27.33 years
Age Range: 21.00 to 40.00 years","Patients: 3
Sequences: 3",MRI,Adult,Brain
ds002938,https://openneuro.org/datasets/ds002938/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 23.07 years
Age Range: 18.00 to 33.00 years","Patients: 30
Sequences: 30",MRI,Adult,Brain
ds002940,https://openneuro.org/datasets/ds002940/versions/1.0.1,,,,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds002982,https://openneuro.org/datasets/ds002982/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 39.00 years
Age Range: 39.00 to 39.00 years","Patients: 19
Sequences: 19",MRI,Adult,Brain
ds002994,https://openneuro.org/datasets/ds002994/versions/1.0.3,,,,False,,,,"Patients: 56
Sequences: 56",MRI,,Brain
ds002995,https://openneuro.org/datasets/ds002995/versions/1.0.1,https://doi.org/10.1523/JNEUROSCI.1751-19.2019,,,True,Patient-Level,True,"Avg. Age: 26.62 years
Age Range: 22.00 to 48.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds003007,https://openneuro.org/datasets/ds003007/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 32.83 years
Age Range: 21.00 to 52.00 years","Patients: 29
Sequences: 29",MRI,Adult,Brain
ds003011,https://openneuro.org/datasets/ds003011/versions/1.2.3,,,,False,,,,"Patients: 4
Sequences: 4",MRI,,Brain
ds003012,https://openneuro.org/datasets/ds003012/versions/1.0.4,,,,True,Task/Data Description,,Age Range: 18.00 to 34.00 years,"Patients: 29
Sequences: 29",MRI,Adult,Brain
ds003017,https://openneuro.org/datasets/ds003017/versions/1.0.3,,,,True,Patient-Level,True,"Avg. Age: 27.52 years
Age Range: 22.00 to 31.00 years","Patients: 25
Sequences: 25",MRI,Adult,Brain
ds003020,https://openneuro.org/datasets/ds003020/versions/3.0.0,,,,True,Patient-Level,True,"Avg. Age: 25.33 years
Age Range: 21.00 to 34.00 years","Patients: 9
Sequences: 9",MRI,Adult,Brain
ds003027,https://openneuro.org/datasets/ds003027/versions/1.2.0,,,,False,,,,"Patients: 23
Sequences: 23",MRI,,Brain
ds003037,https://openneuro.org/datasets/ds003037/versions/2.1.0,10.1101/2020.07.15.20154708,The study was done at the National Institute of Psychiatry in Mexico City by PIs Dr,,True,Patient-Level,True,"Avg. Age: 34.76 years
Age Range: 18.00 to 48.00 years","Patients: 50
Sequences: 50",MRI,Adult,Brain
ds003043,https://openneuro.org/datasets/ds003043/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 31.60 years
Age Range: 23.00 to 46.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds003047,https://openneuro.org/datasets/ds003047/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 26.82 years
Age Range: 19.00 to 36.00 years","Patients: 11
Sequences: 11",MRI,Adult,Brain
ds003052,https://openneuro.org/datasets/ds003052/versions/2.0.1,,,,False,,,,"Patients: 25
Sequences: 25",MRI,,Brain
ds003059,https://openneuro.org/datasets/ds003059/versions/1.0.0,,,,False,,,,"Patients: 15
Sequences: 15",MRI,,Brain
ds003076,https://openneuro.org/datasets/ds003076/versions/1.0.1,10.1093/cercor/bhr389,,,True,Patient-Level,True,"Avg. Age: 25.53 years
Age Range: 19.00 to 30.00 years","Patients: 17
Sequences: 17",MRI,Adult,Brain
ds003078,https://openneuro.org/datasets/ds003078/versions/1.0.0,,,,False,,,,"Patients: 6
Sequences: 6",MRI,,Brain
ds003082,https://openneuro.org/datasets/ds003082/versions/1.0.1,,"* Random inter-stimulus interval: randomized but averaging at a presentation rate of 3Hz
* The subject passively listened while looking at a fixation cross
* Auditory stimuli generated with the Matlab Psychophysics toolbox


#### MEG acquisition

* Acquisition at **120000Hz**, with a **CTF 275** system, subject in seating position
* Recorded at the Montreal Neurological Institute in January 2015
* Anti-aliasing low-pass filter at 3000Hz, files saved with the 3rd order gradient
* Recorded channels (340):
    * 1 Trigger channel indicating the presentation times of the audio stimuli: UADC001 (#306)
    * 26 MEG reference sensors (#4-#29)
    * 272 MEG axial gradiometers (#30-#302)
    * 1 ECG bipolar (#303)
    * 2 EOG bipolar (vertical #304, horizontal #305)
    * 3 Unused channels (#1-#3)
* 3 datasets:
    * **sub-0001_ses-0001_task-mapping_run-01_meg",,True,Patient-Level,True,"Avg. Age: 23.00 years
Age Range: 23.00 to 23.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds003083,https://openneuro.org/datasets/ds003083/versions/1.0.1,10.1002/hbm.21159,,,True,Patient-Level,True,"Avg. Age: 25.19 years
Age Range: 19.00 to 30.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds003085,https://openneuro.org/datasets/ds003085/versions/1.0.0,,,,False,,,,"Patients: 39
Sequences: 39",MRI,,Brain
ds003089,https://openneuro.org/datasets/ds003089/versions/1.0.1,,,,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds003094,https://openneuro.org/datasets/ds003094/versions/1.0.0,,,,False,,,,"Patients: 16
Sequences: 16",MRI,,Brain
ds003095,https://openneuro.org/datasets/ds003095/versions/1.0.0,https://doi.org/10.1101/2020.04.30.071084,,,True,Patient-Level,True,"Avg. Age: 31.53 years
Age Range: 19.00 to 63.00 years","Patients: 38
Sequences: 38",MRI,Adult,Brain
ds003096,https://openneuro.org/datasets/ds003096/versions/1.0.2,,,,False,,,,"Patients: 31
Sequences: 31",MRI,,Brain
ds003097,https://openneuro.org/datasets/ds003097/versions/1.2.1,,,,True,Patient-Level,True,"Avg. Age: 22.85 years
Age Range: 19.00 to 26.00 years","Patients: 928
Sequences: 928",MRI,Adult,Brain
ds003098,https://openneuro.org/datasets/ds003098/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003103,https://openneuro.org/datasets/ds003103/versions/1.0.1,,,,False,,,,"Patients: 30
Sequences: 30",MRI,,Brain
ds003104,https://openneuro.org/datasets/ds003104/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003114,https://openneuro.org/datasets/ds003114/versions/1.0.1,10.1371/journal.pone.0237032,,,True,Patient-Level,True,"Avg. Age: 22.86 years
Age Range: 19.00 to 28.00 years","Patients: 49
Sequences: 49",MRI,Adult,Brain
ds003126,https://openneuro.org/datasets/ds003126/versions/1.3.1,,,,True,Patient-Level,True,"Avg. Age: 9.05 years
Age Range: 8.00 to 13.00 years","Patients: 58
Sequences: 58",MRI,Peds,Brain
ds003136,https://openneuro.org/datasets/ds003136/versions/1.0.0,10.1016/j.dcn.2018.01.002,"**Funding**
This work was supported by the Society for Research in Child Development Victoria Levin Award ""Early Calibration of Stress Systems: Defining Family Influences and Health Outcomes"" to Heidemarie Laurent and by the University of Oregon College of Arts and Sciences
 

**Contact**
For questions about this dataset or to request access to alcohol- and tobacco-related psych data, please contact Dr
Although most reported some education past high school (84%), only 24% had completed college or received a graduate degree, and their median household income was between $20,000 and $29,999
All women gave informed consent prior to participation, and all study procedures were approved by the University of Oregon Institutional Review Board",,True,Patient-Level,True,"Avg. Age: 26.56 years
Age Range: 19.00 to 33.00 years","Patients: 25
Sequences: 25",MRI,Adult,Brain
ds003138,https://openneuro.org/datasets/ds003138/versions/1.0.1,,,Yes,True,Patient-Level,True,"Avg. Age: 23.83 years
Age Range: 18.00 to 36.00 years","Patients: 53
Sequences: 53",MRI,Adult,Brain
ds003146,https://openneuro.org/datasets/ds003146/versions/1.0.2,,,,False,,,,"Patients: 33
Sequences: 33",MRI,,Brain
ds003148,https://openneuro.org/datasets/ds003148/versions/1.0.1,,,,False,,,,"Patients: 60
Sequences: 60",MRI,,Brain
ds003151,https://openneuro.org/datasets/ds003151/versions/2.0.1,,,,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds003170,https://openneuro.org/datasets/ds003170/versions/2.0.0,,,,False,,,,"Patients: 16
Sequences: 16",MRI,,Brain
ds003171,https://openneuro.org/datasets/ds003171/versions/2.0.1,,,,False,,,,"Patients: 17
Sequences: 17",MRI,,Brain
ds003176,https://openneuro.org/datasets/ds003176/versions/2.0.1,,,,True,Patient-Level,True,"Avg. Age: 22.65 years
Age Range: 18.00 to 34.00 years","Patients: 34
Sequences: 34",MRI,Adult,Brain
ds003192,https://openneuro.org/datasets/ds003192/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 31.60 years
Age Range: 25.00 to 40.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds003216,https://openneuro.org/datasets/ds003216/versions/3.0.11,,"Data Acquisition:
Scanning was performed at Scannexus as part of the Maastricht Brain Imaging Centre (MBIC) embedded in the Maastricht University, Maastricht, The Netherlands","the scanning procedures have been approved by the Ethics Review Committee for Psychology and Neuroscience (ERCPN) at Maastricht University, following the principles expressed in the Declaration of Helsinki.",True,Patient-Level,True,"Avg. Age: 29.00 years
Age Range: 29.00 to 29.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds003233,https://openneuro.org/datasets/ds003233/versions/1.2.1,https://doi.org/10.1038/s41467-021-22202-3,,,True,Patient-Level,True,"Avg. Age: 20.32 years
Age Range: 18.00 to 31.00 years","Patients: 25
Sequences: 25",MRI,Adult,Brain
ds003242,https://openneuro.org/datasets/ds003242/versions/1.0.0,[under revision],,,True,Patient-Level,True,"Avg. Age: 25.79 years
Age Range: 18.00 to 40.00 years","Patients: 122
Sequences: 122",MRI,Adult,Brain
ds003338,https://openneuro.org/datasets/ds003338/versions/1.1.0,10.1101/2020.03.26.008714,,,True,Patient-Level,True,"Avg. Age: 23.80 years
Age Range: 18.00 to 35.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds003340,https://openneuro.org/datasets/ds003340/versions/1.0.4,https://doi.org/10.1101/2020.10.14.307454,,,True,Patient-Level,True,"Avg. Age: 26.15 years
Age Range: 21.00 to 45.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds003342,https://openneuro.org/datasets/ds003342/versions/1.0.0,,,,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds003345,https://openneuro.org/datasets/ds003345/versions/1.0.2,,,,False,,,,"Patients: 75
Sequences: 75",MRI,,Brain
ds003346,https://openneuro.org/datasets/ds003346/versions/1.1.2,,The study was done at the National Institute of Psychiatry in Mexico City by PIs Dr,,True,Patient-Level,False,"Avg. Age: 30.81 years
Age Range: 18.00 to 50.00 years","Patients: 145
Sequences: 145",MRI,Adult,Brain
ds003354,https://openneuro.org/datasets/ds003354/versions/1.0.1,,,,True,Task/Data Description,,Age Range: 18.00 to 34.00 years,"Patients: 10
Sequences: 10",MRI,Adult,Brain
ds003357,https://openneuro.org/datasets/ds003357/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 29.16 years
Age Range: 18.00 to 53.00 years","Patients: 32
Sequences: 32",MRI,Adult,Brain
ds003381,https://openneuro.org/datasets/ds003381/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 32.05 years
Age Range: 21.00 to 66.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds003382,https://openneuro.org/datasets/ds003382/versions/1.5.0,https://doi.org/10.1016/j.neuroimage.2019.01.003,,,True,Patient-Level,True,"Avg. Age: 29.20 years
Age Range: 18.00 to 48.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds003392,https://openneuro.org/datasets/ds003392/versions/1.0.4,,,,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds003397,https://openneuro.org/datasets/ds003397/versions/1.2.3,https://doi.org/10.1101/2021.08.02.454708,,"All methods were reviewed by the Monash University Human Research Ethics Committee, in accordance with the Australian National Statement on Ethical Conduct in Human Research (2007). Administration of ionising radiation was approved by the Monash Health Principal Medical Physicist, in accordance with the Australian Radiation Protection and Nuclear Safety Agency Code of Practice (2005).",True,Patient-Level,True,"Avg. Age: 19.33 years
Age Range: 18.00 to 20.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds003404,https://openneuro.org/datasets/ds003404/versions/1.0.3,,,,True,Patient-Level,True,"Avg. Age: 37.60 years
Age Range: 25.00 to 55.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds003416,https://openneuro.org/datasets/ds003416/versions/2.0.2,,,All images were acquired only after informed consent under supervision of the project Institutional Review Board.,True,Patient-Level,True,"Avg. Age: 14.46 years
Age Range: 5.40 to 47.00 years","Patients: 169
Sequences: 169",MRI,"Peds, Adult (>30.17%)",Brain
ds003417,https://openneuro.org/datasets/ds003417/versions/1.0.1,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds003424,https://openneuro.org/datasets/ds003424/versions/1.0.0,https://doi.org/10.1523/JNEUROSCI.2618-19.2020,,,True,Patient-Level,True,"Avg. Age: 27.14 years
Age Range: 18.00 to 37.00 years","Patients: 28
Sequences: 28",MRI,Adult,Brain
ds003425,https://openneuro.org/datasets/ds003425/versions/1.0.2,,,,False,,,,"Patients: 13
Sequences: 13",MRI,,Brain
ds003427,https://openneuro.org/datasets/ds003427/versions/1.0.0,,,,False,,,,"Patients: 4
Sequences: 4",MRI,,Brain
ds003430,https://openneuro.org/datasets/ds003430/versions/1.2.0,,,,False,,,,"Patients: 7
Sequences: 7",MRI,,Brain
ds003433,https://openneuro.org/datasets/ds003433/versions/1.0.1,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds003434,https://openneuro.org/datasets/ds003434/versions/1.0.1,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds003436,https://openneuro.org/datasets/ds003436/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 23.14 years
Age Range: 18.00 to 34.00 years","Patients: 49
Sequences: 49",MRI,Adult,Brain
ds003437,https://openneuro.org/datasets/ds003437/versions/1.0.2,,,,False,,,,"Patients: 12
Sequences: 12",MRI,,Brain
ds003438,https://openneuro.org/datasets/ds003438/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003439,https://openneuro.org/datasets/ds003439/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003440,https://openneuro.org/datasets/ds003440/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003441,https://openneuro.org/datasets/ds003441/versions/1.0.0,,,,False,,,,"Patients: 2
Sequences: 2",MRI,,Brain
ds003442,https://openneuro.org/datasets/ds003442/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003443,https://openneuro.org/datasets/ds003443/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003444,https://openneuro.org/datasets/ds003444/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003445,https://openneuro.org/datasets/ds003445/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003446,https://openneuro.org/datasets/ds003446/versions/1.0.0,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003452,https://openneuro.org/datasets/ds003452/versions/1.0.1,,,,True,Patient-Level,False,"Avg. Age: 36.00 years
Age Range: 29.00 to 39.00 years","Patients: 13
Sequences: 13",MRI,Adult,Brain
ds003453,https://openneuro.org/datasets/ds003453/versions/1.0.4,https://doi.org/10.1073/pnas.1913042117,,,True,Patient-Level,True,"Avg. Age: 30.33 years
Age Range: 21.00 to 48.00 years","Patients: 39
Sequences: 39",MRI,Adult,Brain
ds003454,https://openneuro.org/datasets/ds003454/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 21.91 years
Age Range: 18.00 to 31.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds003455,https://openneuro.org/datasets/ds003455/versions/1.0.2,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds003459,https://openneuro.org/datasets/ds003459/versions/1.0.2,,,,False,,,,"Patients: 34
Sequences: 34",MRI,,Brain
ds003465,https://openneuro.org/datasets/ds003465/versions/1.0.6,,,"All participants provided written informed consent in accordance with the Institutional Review Board at Washington University, St. Louis (USA).",True,Patient-Level,False,"Avg. Age: 31.21 years
Age Range: 19.00 to 42.00 years","Patients: 55
Sequences: 55",MRI,Adult,Brain
ds003466,https://openneuro.org/datasets/ds003466/versions/1.1.1,,,,True,Patient-Level,True,"Avg. Age: 23.81 years
Age Range: 20.00 to 29.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds003468,https://openneuro.org/datasets/ds003468/versions/1.1.0,,,,False,,,,"Patients: 26
Sequences: 26",MRI,,Brain
ds003469,https://openneuro.org/datasets/ds003469/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 24.06 years
Age Range: 18.00 to 39.00 years","Patients: 81
Sequences: 81",MRI,Adult,Brain
